ID	drugs	transporters	targets	enzymes	carriers	groups
DB00033	Interferon gamma-1b		IFNGR1;IFNGR2	CYP1A2		investigational;approved
DB00034	Interferon Alfa-2a, Recombinant		IFNAR2;IFNAR1			investigational;approved
DB00035	Desmopressin		AVPR1B;AVPR2;AVPR1A	PTGS2;PTGS1		approved
DB00036	Coagulation factor VIIa Recombinant Human		GGCX;F7;F3;HPN;TFPI;F10			approved
DB00038	Oprelvekin		IL11RA			investigational;approved
DB00039	Palifermin		HSPG2;FGFR3;FGFR4;FGFR2;NRP1;FGFR1			approved
DB00040	Glucagon recombinant		GCGR;GLP2R;GLP1R			approved
DB00041	Aldesleukin		IL2RA;IL2RB;IL2RG	PTGS2;PLA2G4A;CYP3A4;CYP2E1;XDH		approved
DB00042	Botulinum Toxin Type B		VAMP1;SYT2;VAMP2			investigational;approved
DB00043	Omalizumab		MS4A2;FCER1A			investigational;approved
DB00044	Lutropin alfa		LHCGR			approved
DB00045	Lyme disease vaccine (recombinant OspA)		TLR2			approved;withdrawn
DB00046	Insulin Lispro		INSR;IGF1R	CYP1A2		approved
DB00047	Insulin Glargine		INSR;IGF1R	CYP1A2		approved
DB00048	Collagenase clostridium histolyticum		COL1A2;COL3A1;COL2A1;COL1A1			investigational;approved
DB00049	Rasburicase					investigational;approved
DB00050	Cetrorelix		LHCGR;GNRHR			investigational;approved
DB00051	Adalimumab		FCGR2B;FCGR3A;FCGR2C;C1QC;C1QB;C1QA;FCGR3B;TNF;FCGR1A;C1S;C1R;FCGR2A			approved
DB00052	Somatotropin		PRLR;GHR			investigational;approved
DB00053	Imiglucerase					approved
DB00054	Abciximab		ITGB3;FCGR2B;VTN;ITGA2B;FCGR2C;C1QC;C1QB;C1QA;FCGR3B;FCGR1A;C1S;C1R;FCGR3A;FCGR2A			approved
DB00055	Drotrecogin alfa		F2;GGCX;F5;PROCR;F8;PROS1;SERPINB6;PF4;THBD;CP;SERPINE1;SERPINA5			investigational;approved;withdrawn
DB00056	Gemtuzumab ozogamicin		FCGR2B;FCGR3A;FCGR2C;CD33;C1QC;C1QB;C1QA;FCGR3B;FCGR1A;C1S;C1R;FCGR2A			investigational;approved
DB00057	Indium In-111 satumomab pendetide					approved;withdrawn
DB00058	Alpha-1-proteinase inhibitor		ELANE			approved
DB00059	Pegaspargase					investigational;approved
DB00060	Interferon beta-1a		IFNAR2;IFNAR1			investigational;approved
DB00061	Pegademase bovine		GRB2			approved
DB00062	Human Serum Albumin		APOE;AMBP;SAA1	CYP2C9;MPO;UGT1A9		approved
DB00063	Eptifibatide		ITGB3			investigational;approved
DB00065	Infliximab		TNF			approved
DB00066	Follitropin		FSHR			approved
DB00067	Vasopressin	ABCC2	AVPR1B;AVPR2;AVPR1A			approved
DB00068	Interferon beta-1b		IFNAR2;IFNAR1			approved
DB00069	Interferon alfacon-1		IFNAR2;IFNAR1			investigational;approved
DB00070	Hyaluronidase		TGFB1		ALB	investigational;approved
DB00071	Insulin Pork		LRP2;SYTL4;IGF1R;PCSK2;PCSK1;CTSD;CPE;RB1;INSR;HLA-DQB1;IGFBP7;NOV;IDE;HLA-DQA2	CYP1A2		approved
DB00072	Trastuzumab		ERBB2;FCGR2B;C1QC;FCGR2C;EGFR;C1QB;C1QA;FCGR2A;FCGR1A;C1S;C1R;FCGR3A;FCGR3B	CYP19A1		investigational;approved
DB00073	Rituximab		FCGR2B;FCGR3A;FCGR2C;C1QC;C1QB;C1QA;FCGR3B;FCGR1A;C1S;C1R;FCGR2A;MS4A1			approved
DB00074	Basiliximab		IL2RA;IL2RB;FCGR2B;FCGR3A;FCGR2C;C1QA;FCGR2A;FCGR1A;C1S;C1R;FCGR3B;C1QC;C1QB			investigational;approved
DB00075	Muromonab		FCGR2B;FCGR3A;FCGR2C;C1QC;C1QB;C1QA;FCGR3B;CD247;FCGR1A;C1S;C1R;FCGR2A;CD3D;CD3E;CD3G			investigational;approved
DB00076	Digoxin Immune Fab (Ovine)					approved
DB00078	Ibritumomab tiuxetan		FCGR2B;FCGR3A;FCGR2C;C1QC;C1QB;C1QA;FCGR3B;FCGR1A;C1S;C1R;FCGR2A;MS4A1			investigational;approved
DB00080	Daptomycin					investigational;approved
DB00081	Tositumomab		FCGR2B;FCGR3A;FCGR2C;C1QC;C1QB;C1QA;FCGR3B;FCGR1A;C1R;FCGR2A;MS4A1			investigational;approved
DB00082	Pegvisomant		GHR	CYP4A11;CYP27A1;GLUL;BCHE;CYP2C18;CYP2C19;CYP3A4		approved
DB00083	Botulinum Toxin Type A		SNAP25;RHOB			investigational;approved
DB00085	Pancrelipase					investigational;approved
DB00086	Streptokinase		PLG;F2R	PLA2G4A		investigational;approved
DB00087	Alemtuzumab		CD52;FCGR2B;FCGR3A;FCGR2C;C1QC;C1QB;C1QA;FCGR3B;FCGR1A;C1R;FCGR2A			investigational;approved
DB00088	Alglucerase					investigational;approved
DB00089	Capromab pendetide		FOLH1			approved
DB00090	Laronidase					approved
DB00091	Cyclosporine	SLC10A2;SLC10A1;SLC22A6;ABCB11;SLCO1B1;ABCB1;ABCC2;SLCO1A2;ABCG2;ABCC1;ABCC10;ABCC3	PPIF;CAMLG;PPP3R2;PPIA	CYP2C9;CYP2C8;CYP2D6;CYP2C19;CYP3A7;CYP3A4;CYP3A5		investigational;approved;vet_approved
DB00092	Alefacept		FCGR1A;C1QC;FCGR2C;FCGR3A;C1QB;C1QA;FCGR2A;CD2;C1R;FCGR3B;FCGR2B			investigational;approved;withdrawn
DB00093	Felypressin		AVPR1A			approved
DB00094	Urofollitropin		FSHR			approved;vet_approved
DB00095	Efalizumab		FCGR2B;FCGR3A;FCGR2C;C1QC;C1QB;C1QA;FCGR3B;ITGAL;FCGR1A;C1R;FCGR2A			investigational;approved
DB00097	Choriogonadotropin alfa		LHCGR;FSHR			approved
DB00098	Antithymocyte immunoglobulin (rabbit)		ITGB1;ITGB3;CD1A;FCGR2B;MR1;ITGAV;CD86;CD4;ITGAL			approved
DB00099	Filgrastim		ELANE;CSF3R			approved
DB00100	Coagulation Factor IX (Recombinant)		F2;LRP1;F7;F8;GGCX;F10;F11			investigational;approved
DB00102	Becaplermin		PDGFRB;PDGFRA;A2M			investigational;approved
DB00103	Agalsidase beta					investigational;approved
DB00104	Octreotide		SSTR1;SSTR2;SSTR5	MPO		investigational;approved
DB00105	Interferon Alfa-2b, Recombinant		IFNAR2;IFNAR1	CYP1A2		approved
DB00106	Abarelix		GNRHR			investigational;approved;withdrawn
DB00107	Oxytocin		OXT;OXTR	PREP		approved;vet_approved
DB00108	Natalizumab		ICAM1;FCGR2B;ITGA4;FCGR2C;C1QC;C1QB;C1QA;FCGR3B;FCGR1A;C1R;FCGR3A;FCGR2A			investigational;approved
DB00109	Enfuvirtide		gp41	CYP2C19;CYP2E1		investigational;approved
DB00110	Palivizumab		FCGR2B;F;FCGR3A;FCGR2C;C1QC;C1QB;C1QA;FCGR3B;FCGR1A;C1R;FCGR2A			investigational;approved
DB00112	Bevacizumab		FCGR2B;FCGR3A;FCGR2C;C1QC;C1QB;C1QA;FCGR3B;VEGFA;FCGR1A;C1R;FCGR2A			investigational;approved
DB00113	Technetium Tc-99m arcitumomab		CEACAM1			investigational;approved
DB00114	Pyridoxal Phosphate		GADL1;AGXT2;DDC;OAT;HDC;ABAT;PDXP;CTH;ODC1;GAD2;TAT;PSAT1;SGPL1;KYNU;GIG18;GLDC;MOCOS;ALAS2;IGSF10;GAD1;ALAS1;PYGB;SPTLC2;SHMT1;SPTLC1;GOT2;TLH6;GOT1;PYGL;PYGM;SPTLC3;PHYKPL;AADAT;BCAT2;BCAT1;SRR;SEPSECS;GPT;GCAT;pcap;SHMT2;THNSL1;SCLY;SDSL;PDXDC1;SDS;GAD65;GPT2;AGXT;CSAD;AZIN2;NFS1;CBS;FTCD;PNPO;CCBL1;PROSC;CCBL2			investigational;approved;nutraceutical
DB00115	Cyanocobalamin	CUBN;GIF;TCN2;TCN1;AMN	MUT;MTR;MTHFR;MMACHC;MTRR;MMAA	MMAB		approved;nutraceutical
DB00117	Histidine	SLC16A10	HAL;HARS;HDC;SLC38A3			approved;nutraceutical
DB00118	Ademetionine		MAT2A;MAT1A;COMT;CBS;GNMT;CMTR1;AS3MT;AMD1	CYP2E1;SRM		investigational;approved;nutraceutical
DB00119	Pyruvic acid	SLC16A1;SLC16A3;SLCO2A1;SLC16A10;SLC16A7	PKLR;SLC16A8;SLC16A1;SLC16A3;SLC16A2;SLC16A5;SLC16A4;SLC16A7;SLC16A6;PC;ABAT;PDHB;AGXT2;PKM			investigational;approved;nutraceutical
DB00120	L-Phenylalanine	SLC16A10	TAT;FARS2;SLC7A8;FARSB;FARSA;TH;PAH			investigational;approved;nutraceutical
DB00121	Biotin		ACACA;ACACB;PCCB;HLCS;PCCA;PC;SLC5A6;MCCC2;MCCC1	CYP1B1		investigational;approved;nutraceutical
DB00122	Choline	SLC44A1;SLC44A2;SLC44A3;SLC44A4;SLC5A7;SLC22A4;SLC22A5;SLC22A1;SLC22A2;SLC22A3	PCYT1A;PCYT1B;PLD1;PLD2;CHRNA7;BCHE;PHOSPHO1;ACHE	CHDH;CEPT1;CHAT;CHKB;CHKA		approved;nutraceutical
DB00123	L-Lysine	SLC22A4;SLC16A10	KARS;SLC7A4;SLC7A2;SLC7A3;SLC7A1			approved;nutraceutical
DB00125	L-Arginine	SLC22A4;SLC22A5;SLC16A10	NOS2;NOS3;ARG2;SLC7A3;SLC7A1;AZIN2;ASS1;SLC7A4;ASL			approved;nutraceutical
DB00126	Vitamin C	SLC23A1	BBOX1;P4HA1;PAM;OGFOD1;OGFOD2;PLOD2;PLOD3;PLOD1;P3H3;P3H2;P3H1;P4HTM;EGLN2;EGLN1;xylA;PHYH;EGLN3;DBH;LCT;SLC23A1;KDM5D;ALKBH2;ALKBH3;TMLHE			approved;nutraceutical
DB00127	Spermine	SLC22A4;SLC22A1	SMOX;SMS;ADRB1;ADRB2;CASR;ODC1	SAT1;SAT2;XDH		approved;nutraceutical
DB00128	L-Aspartic Acid	SLC16A10	ADSS;DARS;DARS2;ASS1;SLC25A12;CAD;ASS;GIG18;SLC25A13;ASPH;LYZ;PAICS;GOT2;ASRGL1;GOT1;ACY3;ACY1;RNASE1;ADSSL1;ASPA;ASNS;SLC1A1			approved;nutraceutical
DB00129	Ornithine		OAZ3;ARG1;SLC7A4;OTC;SLC7A2;SLC7A3;OAZ1;OAZ2;GATM;OAT;SLC25A2;SLC25A15;SLC7A1;ARG2			approved;nutraceutical
DB00130	L-Glutamine	SLC1A5;SLC7A8;SLC16A10;SLC38A3	GLUL;PPAT;CTPS1	TGM1;TGM2;TGM3;TGM4;TGM5;TGM6;TGM7;ASNS;NADSYN1;GATB;QARS;CAD;PFAS;F13A1;GFPT2;GLS;CCBL1;GLS2;GMPS		investigational;approved;nutraceutical
DB00131	Adenosine monophosphate		ACSL1;PRKAB2;ADCY1;PRKAB1;PDE4D;ACSS1;PIM1;CREB1;ADK;PRKAA1;ACSS2;PDE4B;PYGL;HINT1;FBP1	APRT;AMPD1		investigational;approved;nutraceutical
DB00132	Alpha-Linolenic Acid		NR1H4;PPARG;PPARD;RXRA;SLC8A1;ELOVL4;PPARA;FADS1;FADS2;TRPV1		FABP7	approved;nutraceutical
DB00133	Serine	SLC16A10	SDS;AGXT;SRR;CBS;SPTLC2;SPTLC1;SARS			approved;nutraceutical
DB00134	Methionine	SLC16A10	MTR;METAP2;BHMT2;BHMT;MTRR	MAT2A;MAT2B;MTHFR;MSRB1;MAT1A;MARS2;MSRB2;GLUL;MARS;MSRA		approved;nutraceutical
DB00135	L-Tyrosine	SLC16A2;SLC16A10	TAT;YARS2;YARS;TH			investigational;approved;nutraceutical
DB00136	Calcitriol		VDR;GC;HOXA10	CYP3A4;CYP24A1		approved;nutraceutical
DB00137	Lutein				ALB	investigational;approved;nutraceutical
DB00138	Cystine	SLC16A10	SLC3A1;CTNS;SLC7A11;SLC7A9			approved;nutraceutical
DB00139	Succinic acid	SLC22A8	BBOX1;P4HA2;P4HA1;SLC25A10;PLOD3;PLOD1;ASPH;P3H3;P3H2;P3H1;HSD17B6;SLC13A1;SLC13A2;SLC13A3;SUCLG2;SUCLG1;SUCLA2;OXCT1;SUCNR1;OXCT2;SDHA;ALDH5A1;SDHC;SDHB;SDHD;TMLHE			approved;nutraceutical
DB00140	Riboflavin	SLC22A6	RFK;BLVRB;ribC	MTHFR;MAOA		vet_approved;investigational;approved;nutraceutical
DB00141	N-Acetylglucosamine		RENBP;NAGPA;NAGLU;NAGK;B4GALT1;B4GALT3;B4GALT2;B4GALT4			investigational;approved;nutraceutical
DB00142	Glutamic Acid	SLC16A1;SLC16A10	GGCX;EARS2;FTCD;GRIA2;GRIA3;GRIA1;NADSYN1;GRIA4;ASNS;GLUL;PSAT1;ABAT;SLC25A18;GRID1;GLS;OPLAH;GAD2;TAT;ENPEP;GCLM;LGSN;GIG18;AASS;ALDH18A1;CPQ;GCLC;GAD1;GRIN3A;GRIN3B;GRM8;GLUD2;GOT2;EPRS;GOT1;GRM1;GATB;FOLH1;DNPEP;AADAT;NAGS;GRID2;SLC7A11;BCAT2;BCAT1;SLC25A22;GRM4;FPGS;GLS2;GPT;GRIN1;GMPS;GRM7;GPT2;GRIK1;GRIK2;GRIK3;GRIK4;GRIK5;GLUD1;GRIN2B;GRIN2C;GRIN2A;PFAS;GRIN2D;CCBL2;SLC1A6;SLC1A7;SLC1A1;SLC1A2;SLC1A3			approved;nutraceutical
DB00143	Glutathione	ABCC4;ABCC5;ABCC1;ABCC2;ABCC3	GSS;GSR;GSTA4;GSTA5;GSTA1;GSTA2;GSTA3;MGST2;MGST3;MGST1;CYP3A4;HAGH;GPX3;LTC4S;GPX2;GLO1;MMP9;GGT1;GLRX2;GLRX;AKR1B1;HPGDS;GSTO2;GSTO1;GPX5;GSTT1;GSTM1;GSTM2;GSTM3;GSTM4;GSTM5;TXNDC12;GPX1;GSTP1;ESD;GSTZ1;GPX4;GPX7;GPX6;GPX8;GSTK1	GSTA1;GSTA2		investigational;approved;nutraceutical
DB00144	Phosphatidyl serine		PTDSS1;PTDSS2;PRKCA;SCARB1;ATP8A1;SMPD4;SMPD3;PISD;DGKG;DGKD			investigational;approved;nutraceutical
DB00145	Glycine	SLC16A10	GSS;GNMT;SLC6A5;AGXT;SLC32A1;GPR18;GATM;GLDC;SLC36A1;SHMT2;ALAS1;ALAS2;GRIN3B;SLC6A9;GLRA3;GLRB;GCAT;AGXT2;GARS;SHMT1;PIPOX;GLYATL2;GLRA2;GLRA1;GLYATL1;BAAT;GRIN2C;GRIN2A;GLYAT;GCSH			vet_approved;approved;nutraceutical
DB00146	Calcidiol		VDR	CYP24A1;CYP27B1		approved;nutraceutical
DB00147	Pyridoxal		PDXK			approved;nutraceutical
DB00148	Creatine	SLC22A5	GAMT;CKB;CKM;SLC6A8;CKMT1A;CKMT2			investigational;approved;nutraceutical
DB00149	L-Leucine	SLC16A2;SLC16A10	LCMT1;LARS;LCMT2;BCAT2;BCAT1;LARS2			approved;nutraceutical
DB00150	L-Tryptophan	SLC16A2;SLC16A10	trpS;WARS2;WARS	TDO2;WARS2;WARS;TPH1;TPH2;IDO1;DDC;trpS		withdrawn;approved;nutraceutical
DB00151	L-Cysteine	SLC16A10	NFS1;GSS;GCLM;CARS;GCLC;CSAD;CARS2;CBS;CDO1;MGMT;GOT1;CTH;SLC19A3			approved;nutraceutical
DB00152	Thiamine	SLC22A5;SLC22A1;SLC22A2	TPK1;SLC19A2	CYP4B1		vet_approved;investigational;approved;nutraceutical
DB00153	Ergocalciferol		VDR	CYP27A1;CYP3A4;CYP24A1;CYP27B1;CYP2R1		approved;nutraceutical
DB00154	Dihomo-gamma-linolenic acid		PTGS2;PTGS1		FABP7	investigational;approved;nutraceutical
DB00155	L-Citrulline		ASS;NOS1;NOS2;NOS3;OTC;PADI1;PADI3;PADI2;PADI4;PADI6;ASS1;DDAH1;DDAH2			investigational;approved;nutraceutical
DB00156	L-Threonine	SLC16A10	TARS;TARS2;THNSL1			approved;nutraceutical
DB00157	NADH		RDH5;PHGDH;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NQO2;NDUFB2;NDUFB1;DHCR7;GSR;HIBADH;PYCR2;PYCR1;NDUFAB1;MT-ND1;OGDH;MT-ND3;MT-ND4;MT-ND5;MT-ND6;NDUFB10;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NNT;NDUFB3;CDO1;NDUFC2;HMGCR;EHHADH;NDUFA4L2;HSD11B2;HSD3B1;HSD3B2;ALDH5A1;LDHC;TYR;HSD17B10;ACADS;CYB5R3;NSDHL;NDUFC1;ALDH3A2;ALDH3A1;GAPDH;H6PD;ALDH2;MT-ND4L;AKR1C1;PDHB;AMT;DLD;MT-ND2;DLAT;BLVRB;BLVRA;HADH;ALDH4A1;MTHFD2;MTHFD1;HMOX1;HMOX2;MSMO1;NDUFS4;ME1;ME3;ME2;AKR1C4;HPGD;AKR1C2;AKR1C3;NDUFV3;NDUFV2;NDUFV1;NDUFS5;HSD17B7;PDHA2;NDUFA7;NDUFA4;PDHA1;NDUFA2;NDUFA3;NDUFA1;UGDH;QDPR;NDUFA8;NDUFA9;SORD;ALDH9A1;ALDH7A1;AKR1B1;ADH7;ADH5;ADH4;TSTA3;GLUD2;GLUD1;NDUFA6;DHFR;LDHAL6B;LDHAL6A;CYP17A1;NDUFA5;GPD1;MDH2;MDH1;ALDH1A1;ALDH1A2;ALDH1A3;IDH3A;IDH3B;IDH3G;AASS;HADHA;IMPDH1;IMPDH2;HSD17B8;HSD17B1;HSD17B2;HSD17B3;HSD17B4;LDHA;LDHB;HSD11B1;ALDH3B2;ALDH3B1;NDUFS6;GAPDHS;ALDH6A1;ALDH1B1;BDH1;CYP4A11;NDUFS1;NDUFS2;NDUFS3;ADH1C;ADH1B;ADH1A;NDUFS7;NDUFS8	AOX1;ADH7;ADH6;ADH5;ADH4;XDH;AKR1A1;ADH1B;ADH1A		approved;nutraceutical
DB00158	Folic Acid	ABCG2;SLC25A32;SLC22A6;ABCC3;ABCC4;SLC46A1;ABCC11	FOLR1;FOLR2;FOLR3	MTHFR;GGH;CYP2E1	ALB	vet_approved;approved;nutraceutical
DB00159	Icosapent		PTGS2;PTGS1;ACSL3;ACSL4;PPARG;PPARD;PPARA;FADS1;FFAR1;TRPV1;SLC8A1		FABP7;ALB	approved;nutraceutical
DB00160	L-Alanine	SLC16A10	PHYKPL;KYNU;SLC7A8;GPT2;AARS;AGXT;SLC36A1;AGXT2;NFS1;SLC1A4;ABAT;GPT;AARS2			approved;nutraceutical
DB00161	L-Valine	SLC16A10	PCCB;VARS;BCAT1	PCCB;BCAT1;VARS		approved;nutraceutical
DB00162	Vitamin A		APOD;RETSAT;RDH8;RLBP1;DHRS4;RDH5;DHRS3;HPGDS;RDH14;RBP1;RBP3;RDH11;RDH12;RDH13;LRAT;ALDH1A1;ALDH1A2;ALDH1A3	CYP1A1;CYP26A1	ALB;RBP2;RBP4;RBP5;RBP7	vet_approved;approved;nutraceutical
DB00163	Vitamin E		PPP2CB;PRKCA;PPP2CA;ALOX5;PRKCB;SEC14L4;NR1I2;SEC14L2;DGKA;SEC14L3	GSTO1;SOD1;GSTM3;HMOX1;GCLC;GSTA2;NQO1;GSTP1	TTPA	vet_approved;approved;nutraceutical
DB00165	Pyridoxine		PDXK	CYP1A1		vet_approved;investigational;approved;nutraceutical
DB00166	Lipoic Acid		LIAS;SLC5A6;LIPT1	POR		investigational;approved;nutraceutical
DB00167	L-Isoleucine	SLC16A10	IARS2;IARS;BCAT1;ACADSB;BCAT2			investigational;approved;nutraceutical
DB00168	Aspartame	SLC22A6;SLC22A8;SLC22A11	TAS1R3;TAS1R2;TRPV1			approved;nutraceutical
DB00169	Cholecalciferol		VDR	CYP2J2;CYP1A1;CYP11A1;CYP2D6;CYP2C8;CYP2B6;CYP27A1;CYP2C9;CYP2C19;CYP3A4;CYP2R1	GC	approved;nutraceutical
DB00170	Menadione		F2;GGCX;PROZ;F7;F9;VKORC1;VKORC1L1;BGLAP;PROS1;F10;NQO1;PROC;NQO2	AOX1;CYP1A2;CYP1A1;MTHFR;CYP2E1;XDH;CYP2A6		approved;nutraceutical
DB00172	L-Proline	SLC16A10	SLC6A7;PARS2;P4HA2;P4HA1;P5CR2;PYCR2;PYCR1;L3HYPDH;P3H3;P3H2;P3H1;EPRS;SLC6A14;PYCRL;PRODH;PROSC;PPIH;PPIG;PPIF;PPIC;PPIB;PPIA	PRODH		approved;nutraceutical
DB00173	Adenine		cobT;PECR;ruvB;ACP1;ACACB;ptd;mtnN;APRT;mutY;MTAP;SRPK2	UGT1A1		approved;nutraceutical
DB00174	L-Asparagine	SLC16A10	SLC38A3;NARS2;ASNS;NARS;SLC1A5;ASRGL1			investigational;approved;nutraceutical
DB00175	Pravastatin	ABCG2;SLC16A1;SLC22A6;SLCO1B3;SLC22A11;SLCO1B1;ABCB1;SLC22A7;SLCO1A2;SLCO2B1;ABCB11;SLC22A8;ABCC2	HMGCR	CYP2C9;CYP2C8;CYP3A4;CYP3A5;CYP2D6		approved
DB00176	Fluvoxamine	ABCB1	KCNH2;SLC6A4	CYP2C9;CYP1A1;CYP1A2;CYP2D6;CYP2B6;CYP2E1;CYP2C19;CYP3A7;CYP3A4;CYP3A5		investigational;approved
DB00177	Valsartan	SLCO1B1;SLCO1B3	AGTR1	CYP2C9	ALB	investigational;approved
DB00178	Ramipril	SLC15A2;SLC15A1	BDKRB1;ACE	BCHE		approved
DB00179	Masoprocol		SHBG;ALOX5	CYP2J2		investigational;approved
DB00180	Flunisolide		NR3C1	CYP3A4	SERPINA6	investigational;approved
DB00181	Baclofen	SLC22A8	GABBR1;GABBR2			approved
DB00182	Amphetamine	SLC22A5;SLC22A3	SLC6A3;ADRA1A;TAAR1;SLC6A2;SLC6A4;DRD2;VMAT2;ADRB1;MAOA;CARTPT;SLC18A2;MAOB	CYP2A6;CYP2D6		illicit;investigational;approved
DB00183	Pentagastrin		CCKBR	BCHE		approved
DB00184	Nicotine	SLC22A4;SLC22A5;SLC22A1;SLC22A2;SLC22A3	CYP19A1;CHAT;CHRNB3;CHRNB2;CHRNB4;CHRNA10;CHRNA4;CHRNA5;CHRNA6;CHRNA7;CHRNA2;CHRNA3;CHRNA9	CYP2C9;CYP1A1;CYP1A2;CYP2D6;CYP2C8;CYP2A13;CYP2B6;CYP2E1;MAOB;MAOA;CYP2C19;CYP2A6;CYP3A4		approved
DB00185	Cevimeline		CHRM3;CHRM1	CYP3A4;FMO1;CYP2D6		approved
DB00186	Lorazepam		TSPO;GABRA1	UGT2B15		approved
DB00187	Esmolol		ADRB1			approved
DB00188	Bortezomib		PSMB5;PSMB1	CYP2C9;CYP3A4;CYP2C19;CYP1A2;CYP2D6		investigational;approved
DB00189	Ethchlorvynol		GABRA1			illicit;approved;withdrawn
DB00190	Carbidopa		DDC			approved
DB00191	Phentermine		SLC6A3;SLC6A2;MAOA;MAOB;SLC6A4	CYP2C9;MAOB;MAOA;CYP1A2;CYP2D6		illicit;approved
DB00192	Indecainide		SCN5A			approved
DB00193	Tramadol		SLC6A2;SLC6A4;CHRM3;GRIN3A;OPRM1;CHRNA7;OPRD1;HTR2C;OPRK1	CYP3A4;CYP2B6;CYP2D6		investigational;approved
DB00194	Vidarabine		TK	ADA		investigational;approved
DB00195	Betaxolol		ADRB1;ADRB2	CYP1A2;CYP2D6		investigational;approved
DB00196	Fluconazole	ABCB1	ERG11	CYP2C9;CYP1A2;CYP2C19;CYP3A7;CYP3A4;CYP3A5;CYP11B1		investigational;approved
DB00198	Oseltamivir	ABCC4;SLC15A1;SLC22A8	CES1;NA;NEU1;NEU2			approved
DB00199	Erythromycin	SLCO1B1;ABCB1	MLNR;ALB;KCNH2	CYP3A7;CYP3A4;CYP2B6;CYP1A2		investigational;approved;vet_approved
DB00200	Hydroxocobalamin		MUT;AMN;MTR;TCN1;CUBN;MMACHC;MTRR;MMAA;MMAB		TCN2	approved
DB00201	Caffeine	ABCB1	ADORA2A;ADORA1;PIK3CA;PDE1A;ATM;PIK3CD;PRKDC;RYR1;PDE4B;ITPR1;PIK3CB	CYP2C9;CYP2C8;CYP1A2;CYP1B1;CYP2D6;CYP1A1;CYP2E1;CYP3A7;CYP3A4;CYP3A5		approved
DB00202	Succinylcholine		CHRNA7;CHRM3;CHRM1;CHRNA10;CHRM2	BCHE		approved
DB00203	Sildenafil	ABCC4;ABCC5;ABCC10	PDE6H;PDE6G;PDE5A	CYP2C9;CYP1A1;CYP2D6;CYP2E1;CYP2C19;CYP3A7;CYP3A4;CYP3A5		investigational;approved
DB00204	Dofetilide		KCNJ12;KCNK2;KCNH2	CYP3A4		investigational;approved
DB00205	Pyrimethamine		DHFR;HEXB	CYP2C9;CYP2C8;CYP2D6		investigational;approved;vet_approved
