Gene,Gene ID,drugs,ID,ADME
ABCC4,10257,"Glutathione,Folic Acid,Oseltamivir,Sildenafil,Conjugated estrogens,Tenofovir disoproxil,Indomethacin,Sorafenib,Celecoxib,Zidovudine,Rofecoxib,Fluorouracil,Methotrexate,Diclofenac,Verapamil,Lamivudine,Flurbiprofen,Adefovir Dipivoxil,Nateglinide,Alprostadil,Meloxicam,Dinoprostone,Dipyridamole,Ketoprofen,Probenecid,Mercaptopurine,Ibuprofen,Atorvastatin,Rosuvastatin,Sulfinpyrazone,Sunitinib,Cefazolin,Ursodeoxycholic acid,Cholic Acid,Rucaparib,Fluciclovine (18F)","DB00143,DB00158,DB00198,DB00203,DB00286,DB00300,DB00328,DB00398,DB00482,DB00495,DB00533,DB00544,DB00563,DB00586,DB00661,DB00709,DB00712,DB00718,DB00731,DB00770,DB00814,DB00917,DB00975,DB01009,DB01032,DB01033,DB01050,DB01076,DB01098,DB01138,DB01268,DB01327,DB01586,DB02659,DB12332,DB13146",True
ABCC5,10057,"Glutathione,Sildenafil,Zidovudine,Cisplatin,Fluorouracil,Adefovir Dipivoxil,Alprostadil,Dinoprostone,Dipyridamole,Probenecid,Mercaptopurine,Rifampicin,Atorvastatin,Sulfinpyrazone","DB00143,DB00203,DB00495,DB00515,DB00544,DB00718,DB00770,DB00917,DB00975,DB01032,DB01033,DB01045,DB01076,DB01138",True
ABCC6,368,"Indomethacin,Teniposide,Cisplatin,Vinblastine,Daunorubicin,Etoposide,Dactinomycin,Doxorubicin,Probenecid,Sulfinpyrazone","DB00328,DB00444,DB00515,DB00570,DB00694,DB00773,DB00970,DB00997,DB01032,DB01138",True
ABCC8,6833,"Glimepiride,Chlorpropamide,Nateglinide,Repaglinide,Glyburide,Glipizide,Gliclazide,Tolbutamide,Mitiglinide","DB00222,DB00672,DB00731,DB00912,DB01016,DB01067,DB01120,DB01124,DB01252",
ABCC9,10060,Glyburide,DB01016,
ABCG2,9429,"Cyclosporine,Folic Acid,Pravastatin,Pantoprazole,Nelfinavir,Diethylstilbestrol,Venlafaxine,Conjugated estrogens,Gefitinib,Omeprazole,Sorafenib,Cerivastatin,Teniposide,Lansoprazole,Prazosin,Dronabinol,Zidovudine,Ritonavir,Cisplatin,Erlotinib,Vincristine,Fluorouracil,Zafirlukast,Methotrexate,Ivermectin,Imatinib,Testosterone,Estrone,Verapamil,Sumatriptan,Tamoxifen,Mycophenolate mofetil,Daunorubicin,Lamivudine,Riluzole,Hydrocortisone,Irinotecan,Etoposide,Estradiol,Sulfasalazine,Buprenorphine,Telmisartan,Dactinomycin,Ezetimibe,Doxorubicin,Glyburide,Topotecan,Novobiocin,Hesperetin,Leflunomide,Rosuvastatin,Rabeprazole,Mitoxantrone,Paclitaxel,Saquinavir,Dexamethasone,Docetaxel,Dasatinib,Sunitinib,Topiroxostat,Cholesterol,Nilotinib,Cobimetinib,Vandetanib,Pazopanib,Apixaban,Cabazitaxel,Vismodegib,Pitavastatin,Rilpivirine,Vemurafenib,Regorafenib,Ponatinib,Dabrafenib,Afatinib,Dolutegravir,Riociguat,Sofosbuvir,Ledipasvir,Cannabidiol,Lenvatinib,Ombitasvir,Osimertinib,Alectinib,Venetoclax,Isavuconazole,Baricitinib,Ertugliflozin,Apalutamide,Delafloxacin,Abemaciclib,Voxilaprevir,Letermovir,Rucaparib,Copanlisib,Enasidenib,Testosterone cypionate,Testosterone enanthate,Testosterone undecanoate,Estradiol acetate,Estradiol benzoate,Estradiol cypionate,Estradiol dienanthate,Estradiol valerate","DB00091,DB00158,DB00175,DB00213,DB00220,DB00255,DB00285,DB00286,DB00317,DB00338,DB00398,DB00439,DB00444,DB00448,DB00457,DB00470,DB00495,DB00503,DB00515,DB00530,DB00541,DB00544,DB00549,DB00563,DB00602,DB00619,DB00624,DB00655,DB00661,DB00669,DB00675,DB00688,DB00694,DB00709,DB00740,DB00741,DB00762,DB00773,DB00783,DB00795,DB00921,DB00966,DB00970,DB00973,DB00997,DB01016,DB01030,DB01051,DB01094,DB01097,DB01098,DB01129,DB01204,DB01229,DB01232,DB01234,DB01248,DB01254,DB01268,DB01685,DB04540,DB04868,DB05239,DB05294,DB06589,DB06605,DB06772,DB08828,DB08860,DB08864,DB08881,DB08896,DB08901,DB08912,DB08916,DB08930,DB08931,DB08934,DB09027,DB09061,DB09078,DB09296,DB09330,DB11363,DB11581,DB11633,DB11817,DB11827,DB11901,DB11943,DB12001,DB12026,DB12070,DB12332,DB12483,DB13874,DB13943,DB13944,DB13946,DB13952,DB13953,DB13954,DB13955,DB13956",True
ABCG5,64240,Ezetimibe,DB00973,True
ABCG8,64241,Ezetimibe,DB00973,True
ABL1,25,"Imatinib,Dasatinib,Nilotinib,Bosutinib,Regorafenib,Ponatinib","DB00619,DB01254,DB04868,DB06616,DB08896,DB08901",
ABL2,27,Dasatinib,DB01254,
ACADS,35,NADH,DB00157,
ACADSB,36,Valproic Acid,DB00313,
ACAT1,38,"Sulfasalazine,Cannabidiol","DB00795,DB09061",True
ACE,1636,"Enalapril,Perindopril,Captopril,Cilazapril","DB00584,DB00790,DB01197,DB01340",
ACHE,43,"Mefloquine,Carbachol,Dipivefrin,Gallamine Triethiodide,Pyridostigmine,Galantamine,Minaprine,Donepezil,Ranitidine,Rivastigmine,Tubocurarine,Metoclopramide,Ephedrine,Neostigmine,Acetylcholine","DB00358,DB00411,DB00449,DB00483,DB00545,DB00674,DB00805,DB00843,DB00863,DB00989,DB01199,DB01233,DB01364,DB01400,DB03128",True
ACRB,NaN,Deoxycholic Acid,DB03619,
ACSL3,2181,Icosapent,DB00159,
ACSL4,2182,"Icosapent,Rosiglitazone","DB00159,DB00412",
ACY1,95,Acetylcysteine,DB06151,
ADA,100,"Theophylline,Adenosine,Dipyridamole","DB00277,DB00640,DB00975",True
ADH1A,124,"NADH,Ethanol,Fomepizole","DB00157,DB00898,DB01213",True
ADH1B,125,"NADH,Ethanol,Fomepizole,Glycerin","DB00157,DB00898,DB01213,DB09462",True
ADH1C,126,"NADH,Ethanol,Fomepizole,Cholic Acid","DB00157,DB00898,DB01213,DB02659",True
ADH4,127,"NADH,Ethanol","DB00157,DB00898",True
ADH5,128,"NADH,Ethanol","DB00157,DB00898",True
ADH6,130,"NADH,Ethanol","DB00157,DB00898",True
ADH7,131,"NADH,Ethanol","DB00157,DB00898",True
ADK,132,Adenosine,DB00640,True
ADORA1,134,"Caffeine,Theophylline,Lamotrigine,Adenosine,Dyphylline,Pentoxifylline,Gabapentin,Aminophylline,Oxtriphylline,Theobromine","DB00201,DB00277,DB00555,DB00640,DB00651,DB00806,DB00996,DB01223,DB01303,DB01412",
ADORA2A,135,"Caffeine,Theophylline,Mefloquine,Lamotrigine,Adenosine,Dyphylline,Pentoxifylline,Oxtriphylline,Theobromine","DB00201,DB00277,DB00358,DB00555,DB00640,DB00651,DB00806,DB01303,DB01412",
ADORA2B,136,"Theophylline,Adenosine","DB00277,DB00640",
ADORA3,140,"Adenosine,Aminophylline","DB00640,DB01223",
ADRA1A,148,"Amphetamine,Midodrine,Citalopram,Ziprasidone,Cabergoline,Dapiprazole,Amitriptyline,Olanzapine,Alfuzosin,Clozapine,Norepinephrine,Mirtazapine,Phenylephrine,Loxapine,Promazine,Dipivefrin,Droperidol,Prazosin,Imipramine,Chlorpromazine,Nortriptyline,Amoxapine,Lamotrigine,Clonidine,Doxazosin,Labetalol,Metaraminol,Nicardipine,Trazodone,Verapamil,Epinephrine,Thioridazine,Phentolamine,Ergotamine,Nicergoline,Tamsulosin,Methoxamine,Trimipramine,Risperidone,Epinastine,Propiomazine,Tolazoline,Fenoldopam,Trifluoperazine,Pseudoephedrine,Benzphetamine,Flupentixol,Quinidine,Phenoxybenzamine,Maprotiline,Oxymetazoline,Apraclonidine,Ergoloid mesylate,Promethazine,Carvedilol,Doxepin,Nefazodone,Desipramine,Terazosin,Escitalopram,Pergolide,Bromocriptine,Quetiapine,Aripiprazole,Ergonovine,Paliperidone,Bevantolol,Ephedrine,Mephentermine,Methotrimeprazine,Dextroamphetamine,Phendimetrazine,Acepromazine,Thioproperazine,Zuclopenthixol,Dronedarone,Iloperidone,Sertindole,Mianserin,Silodosin,Asenapine,Droxidopa,Xylometazoline,Isometheptene,Naphazoline,Tetryzoline,Perospirone,Dosulepin,Lorpiprazole,Pipamperone,Racepinephrine","DB00182,DB00211,DB00215,DB00246,DB00248,DB00298,DB00321,DB00334,DB00346,DB00363,DB00368,DB00370,DB00388,DB00408,DB00420,DB00449,DB00450,DB00457,DB00458,DB00477,DB00540,DB00543,DB00555,DB00575,DB00590,DB00598,DB00610,DB00622,DB00656,DB00661,DB00668,DB00679,DB00692,DB00696,DB00699,DB00706,DB00723,DB00726,DB00734,DB00751,DB00777,DB00797,DB00800,DB00831,DB00852,DB00865,DB00875,DB00908,DB00925,DB00934,DB00935,DB00964,DB01049,DB01069,DB01136,DB01142,DB01149,DB01151,DB01162,DB01175,DB01186,DB01200,DB01224,DB01238,DB01253,DB01267,DB01295,DB01364,DB01365,DB01403,DB01576,DB01579,DB01614,DB01622,DB01624,DB04855,DB04946,DB06144,DB06148,DB06207,DB06216,DB06262,DB06694,DB06706,DB06711,DB06764,DB08922,DB09167,DB09195,DB09286,DB11124",
ADRA1B,147,"Midodrine,Ziprasidone,Cabergoline,Dapiprazole,Amitriptyline,Olanzapine,Alfuzosin,Clozapine,Norepinephrine,Phenylephrine,Loxapine,Promazine,Prazosin,Imipramine,Chlorpromazine,Nortriptyline,Clonidine,Doxazosin,Nicardipine,Verapamil,Epinephrine,Thioridazine,Phentolamine,Ergotamine,Tamsulosin,Methoxamine,Trimipramine,Risperidone,Modafinil,Propiomazine,Fenoldopam,Quinidine,Phenoxybenzamine,Oxymetazoline,Carvedilol,Doxepin,Nefazodone,Terazosin,Pergolide,Bromocriptine,Quetiapine,Aripiprazole,Lisdexamfetamine,Paliperidone,Methotrimeprazine,Dextroamphetamine,Phendimetrazine,Propericiazine,Acepromazine,Thioproperazine,Dronedarone,Sertindole,Silodosin,Droxidopa,Xylometazoline,Brexpiprazole,Racepinephrine","DB00211,DB00246,DB00248,DB00298,DB00321,DB00334,DB00346,DB00363,DB00368,DB00388,DB00408,DB00420,DB00457,DB00458,DB00477,DB00540,DB00575,DB00590,DB00622,DB00661,DB00668,DB00679,DB00692,DB00696,DB00706,DB00723,DB00726,DB00734,DB00745,DB00777,DB00800,DB00908,DB00925,DB00935,DB01136,DB01142,DB01149,DB01162,DB01186,DB01200,DB01224,DB01238,DB01255,DB01267,DB01403,DB01576,DB01579,DB01608,DB01614,DB01622,DB04855,DB06144,DB06207,DB06262,DB06694,DB09128,DB11124",
ADRA1D,146,"Midodrine,Cabergoline,Dapiprazole,Amitriptyline,Alfuzosin,Norepinephrine,Phenylephrine,Promazine,Prazosin,Imipramine,Nortriptyline,Clonidine,Doxazosin,Nicardipine,Verapamil,Epinephrine,Phentolamine,Ergotamine,Tamsulosin,Methoxamine,Propiomazine,Fenoldopam,Quinidine,Phenoxybenzamine,Oxymetazoline,Carvedilol,Doxepin,Terazosin,Pergolide,Bromocriptine,Quetiapine,Methotrimeprazine,Dronedarone,Sertindole,Silodosin,Droxidopa,Xylometazoline","DB00211,DB00248,DB00298,DB00321,DB00346,DB00368,DB00388,DB00420,DB00457,DB00458,DB00540,DB00575,DB00590,DB00622,DB00661,DB00668,DB00692,DB00696,DB00706,DB00723,DB00777,DB00800,DB00908,DB00925,DB00935,DB01136,DB01142,DB01162,DB01186,DB01200,DB01224,DB01403,DB04855,DB06144,DB06207,DB06262,DB06694",
ADRA2A,150,"Bethanidine,Ziprasidone,Cabergoline,Ropinirole,Dihydroergotamine,Amitriptyline,Olanzapine,Clozapine,Norepinephrine,Mirtazapine,Phenylpropanolamine,Loxapine,Pramipexole,Dipivefrin,Prazosin,Chlorpromazine,Brimonidine,Nortriptyline,Amoxapine,Lamotrigine,Clonidine,Lisuride,Guanabenz,Dexmedetomidine,Trazodone,Epinephrine,Phentolamine,Ergotamine,Tizanidine,Apomorphine,Trimipramine,Risperidone,Epinastine,Tolazoline,Fenoldopam,Pseudoephedrine,Benzphetamine,Phenoxybenzamine,Maprotiline,Oxymetazoline,Apraclonidine,Guanfacine,Ergoloid mesylate,Carvedilol,Doxepin,Nefazodone,Desipramine,Pergolide,Bromocriptine,Quetiapine,Aripiprazole,Paliperidone,Ephedra,Yohimbine,Methotrimeprazine,Methamphetamine,Propericiazine,Zuclopenthixol,Dronedarone,Lofexidine,Mianserin,Asenapine,Droxidopa,Xylometazoline,Naphazoline,Lurasidone,Dosulepin,Lorpiprazole,Moxonidine,Pirlindole,Pipamperone,Racepinephrine","DB00217,DB00246,DB00248,DB00268,DB00320,DB00321,DB00334,DB00363,DB00368,DB00370,DB00397,DB00408,DB00413,DB00449,DB00457,DB00477,DB00484,DB00540,DB00543,DB00555,DB00575,DB00589,DB00629,DB00633,DB00656,DB00668,DB00692,DB00696,DB00697,DB00714,DB00726,DB00734,DB00751,DB00797,DB00800,DB00852,DB00865,DB00925,DB00934,DB00935,DB00964,DB01018,DB01049,DB01136,DB01142,DB01149,DB01151,DB01186,DB01200,DB01224,DB01238,DB01267,DB01363,DB01392,DB01403,DB01577,DB01608,DB01624,DB04855,DB04948,DB06148,DB06216,DB06262,DB06694,DB06711,DB08815,DB09167,DB09195,DB09242,DB09244,DB09286,DB11124",
